jumlah_dosen,univ_name
0,STKIP Teladan Medan
6,Sekolah Tinggi Ilmu Hukum Benteng Huraba
12,Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa
27,Sekolah Tinggi Olahraga Dan Kesehatan Bina Guna
0,Sekolah Tinggi Teologi HKBP
21,Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa
81,STKIP Pelita Bangsa
73,STKIP Budi Daya
13,Sekolah Tinggi Ilmu Ekonomi Al-Washliyah
0,STKIP Tapanuli Selatan
2,Sekolah Tinggi Pertanian Benteng Huraba
0,Sekolah Tinggi Ilmu Manajemen Medan
8,Sekolah Tinggi Teknologi Immanuel
11,Sekolah Tinggi Ilmu Komunikasi Pembangunan
17,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Asahan
0,Sekolah Tinggi Teknik Pelita Bangsa
10,Sekolah Tinggi Ilmu Ekonomi Mars
8,Sekolah Tinggi Ilmu Ekonomi Surya Nusantara
0,Sekolah Tinggi Pertanian Gunung Leuser
0,Sekolah Tinggi Ekonomi Teladan
11,Sekolah Tinggi Ilmu Hukum Muhammadiyah Kisaran
96,STMIK Budi Darma
114,STMIK Mikroskil
11,Sekolah Tinggi Ilmu Ekonomi Tricom
17,Sekolah Tinggi Ilmu Ekonomi Al-Hikmah
13,Sekolah Tinggi Ilmu Ekonomi Eka Prasetya
21,Sekolah Tinggi Ilmu Ekonomi Graha Kirana
5,Sekolah Tinggi Ilmu Hukum Graha Kirana
10,Sekolah Tinggi Ilmu Hukum Al-hikmah
9,Sekolah Tinggi Ilmu Ekonomi Indonesia Medan
6,STMIK Sisingamangaraja XII
36,Sekolah Tinggi Ilmu Ekonomi Labuhan Batu
57,Sekolah Tinggi Ilmu Ekonomi IBBI
7,Sekolah Tinggi Ilmu Ekonomi Y P Kampus
19,Sekolah Tinggi Ilmu Ekonomi LMII
0,Sekolah Tinggi Teknik Graha Kirana
3,Sekolah Tinggi Ilmu Ekonomi Riama
47,STKIP Labuhan Batu
12,Sekolah Tinggi Ilmu Pertanian Labuhan Batu
21,Sekolah Tinggi Ilmu Hukum Labuhan Batu
25,Sekolah Tinggi Ilmu Manajemen Sukma
36,Sekolah Tinggi Ilmu Ekonomi Sultan Agung
21,Sekolah Tinggi Ilmu Ekonomi Pembangunan
8,Sekolah Tinggi Filsafat Theologi S Nusantara
20,Sekolah Tinggi Ilmu Ekonomi ITMI Medan
0,Sekolah Tinggi Ilmu Ekonomi Gunung Leuser
0,Sekolah Tinggi Ilmu Kesehatan Mutiara Indonesia
0,STKIP Gunung Leuser
15,Sekolah Tinggi Perikanan Sibolga
40,Sekolah Tinggi Ilmu Ekonomi Bina Karya
6,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan
27,STIE IBMI Medan
1,Sekolah Tinggi Kelautan Dan Perikanan Indonesia
0,Sekolah Tinggi Ilmu Kesehatan Helvetia
0,Sekolah Tinggi Ilmu Kesehatan Medistra
0,Sekolah Tinggi Ilmu Kesehatan Deli Husada
20,STMIK Time
27,Sekolah Tinggi Ilmu Kesehatan Sumatera Utara
47,STMIK Logika
47,Sekolah Tinggi Teknik Poliprofesi
34,STMIK IBBI
0,STMIK Potensi Utama
31,STMIK Kaputama
21,Sekolah Tinggi Teknologi Sinar Husni
15,Sekolah Tinggi Ilmu Kesehatan Binalita Sudama
0,Sekolah Tinggi Ilmu Teknik Gunung Leuser
2,STMIK ITMI Medan
49,STIPER Agrobisnis Perkebunan
17,STIE Akuntansi Dan Bisnis Internasional
38,STIKES Santa Elisabeth Medan
30,STIKES Putra Abadi Langkat
0,STIE Informasi Teknologi Dan Bisnis
51,STMIK Pelita Nusantara Medan
27,Sekolah Tinggi Ilmu Komputer Medan
24,STIE Nias Selatan
51,STKIP Nias Selatan
12,STMIK Kristen Neumann Indonesia
0,Sekolah Tinggi Ilmu Hukum Indonesia Medan
56,STMIK Triguna Dharma
36,Stba Persahabatan Internasional Asia
0,Sekolah Tinggi Ilmu Ekonomi Sutomo Deli Serdang
27,Sekolah Tinggi Ilmu Kesehatan RS Haji Medan
36,Sekolah Tinggi Ilmu Kesehatan Flora
30,STIE Professional Manajemen College Indonesia
20,STIE Mikroskill
0,STIKES Adiwangsa Tebing Tinggi
20,STIKES Nauli Husada
2,STKIP Barus Tapanuli Tengah
46,STIKES Aufa Royhan
71,Sekolah Tinggi Manajemen Informatika dan Komputer Royal
16,STIKES Widya Husada Medan 
67,Sekolah Tinggi Kesehatan Imelda 
2,STIKES Syuhada di Padangsidimpuan
9,Sekolah Tinggi Ilmu Hukum Nias Selatan
13,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi
14,STIKES Nurliana Medan
16,STIKOM Tunas Bangsa 
9,STMIK Methodist Binjai
5,STIKES Sakinah Husada Tanjung Balai
4,STIKES Darmais Padangsidimpuan
